               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  64,             0.05275,            0.049001,           0.0033197,             0.82544,             0.85847,             0.94663,             0.54403,            0.046722,            0.037102,           0.0027303,            0.003763,            0.003763,            0.003763
                  65,            0.052249,            0.045224,           0.0034107,             0.87674,             0.84713,             0.93787,             0.53091,            0.047865,            0.037359,           0.0028062,            0.003664,            0.003664,            0.003664
                  66,             0.05335,            0.049051,           0.0031663,             0.86556,             0.85002,             0.94512,             0.54182,            0.046507,             0.03691,           0.0027969,            0.003565,            0.003565,            0.003565
                  67,            0.052346,            0.046021,           0.0032285,             0.87126,             0.87076,             0.94477,             0.53901,            0.045765,            0.037186,           0.0026177,            0.003466,            0.003466,            0.003466
                  68,            0.052303,             0.04684,           0.0035911,             0.87787,              0.8654,             0.93742,             0.54912,            0.046923,            0.037253,           0.0027054,            0.003367,            0.003367,            0.003367
                  69,            0.052153,            0.046127,           0.0042936,             0.93231,             0.88601,             0.94866,             0.54806,            0.045622,            0.036498,           0.0028304,            0.003268,            0.003268,            0.003268
                  70,            0.051862,            0.048306,           0.0036738,             0.91928,             0.89612,             0.95292,             0.55561,            0.045766,            0.036443,           0.0024915,            0.003169,            0.003169,            0.003169
                  71,            0.051711,            0.045372,           0.0032425,              0.9264,             0.88979,             0.94995,             0.55618,            0.045279,            0.036215,           0.0024967,             0.00307,             0.00307,             0.00307
                  72,             0.05065,            0.045369,           0.0026895,             0.92664,             0.88013,             0.94366,             0.55064,             0.04499,            0.037088,           0.0024279,            0.002971,            0.002971,            0.002971
                  73,            0.050553,            0.044231,           0.0029497,             0.92949,             0.90185,             0.95282,             0.56787,            0.045212,            0.036479,           0.0022622,            0.002872,            0.002872,            0.002872
                  74,            0.050629,            0.046135,           0.0024382,             0.93523,             0.90855,             0.95735,             0.57283,            0.046022,            0.036482,           0.0022257,            0.002773,            0.002773,            0.002773
                  75,            0.050418,            0.046836,           0.0027687,             0.93253,             0.90771,             0.95621,             0.55689,            0.046471,            0.036548,           0.0021425,            0.002674,            0.002674,            0.002674
                  76,            0.050617,            0.048073,           0.0030993,              0.9322,             0.88494,             0.94829,             0.56064,            0.044967,            0.036712,           0.0021379,            0.002575,            0.002575,            0.002575
                  77,             0.05098,            0.049315,           0.0028286,             0.93321,             0.88262,             0.94616,             0.55443,            0.044542,            0.036624,           0.0021343,            0.002476,            0.002476,            0.002476
